O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand
15-1211.00,Computer Systems Analysts,Microsoft Exchange,2.E.16.a,Electronic mail software,N,N
15-1211.00,Computer Systems Analysts,Microsoft Internet Information Services (IIS),2.E.6.l,Transaction server software,N,N
15-1211.00,Computer Systems Analysts,Microsoft Office software,2.E.1.k,Office suite software,Y,Y
15-1211.00,Computer Systems Analysts,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Power BI,2.E.6.m,Business intelligence and data analysis software,Y,Y
15-1211.00,Computer Systems Analysts,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y
15-1211.00,Computer Systems Analysts,Microsoft PowerShell,2.E.7.b,Development environment software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Project,2.E.1.e,Project management software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Publisher,2.E.4.k,Desktop publishing software,N,N
15-1211.00,Computer Systems Analysts,Microsoft SharePoint,2.E.5.b,Document management software,Y,Y
15-1211.00,Computer Systems Analysts,Microsoft SQL Server,2.E.6.f,Data base user interface and query software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft SQL Server Integration Services SSIS,2.E.7.c,Enterprise application integration software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft SQL Server Reporting Services SSRS,2.E.6.e,Data base reporting software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Team Foundation Server,2.E.1.e,Project management software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Teams,2.E.1.e,Project management software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Visio,2.E.1.p,Process mapping and design software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Visual Basic,2.E.7.b,Development environment software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Visual Basic for Applications VBA,2.E.7.b,Development environment software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Visual Basic Scripting Edition VBScript,2.E.7.b,Development environment software,N,N
15-1211.00,Computer Systems Analysts,Microsoft Visual Basic.NET,2.E.7.e,Object or component oriented development software,N,N
15-1211.00,Computer Systems Analysts,Microsoft Visual C# .NET,2.E.7.e,Object or component oriented development software,N,N
15-1211.00,Computer Systems Analysts,Microsoft Visual FoxPro,2.E.6.j,Object oriented data base management software,N,N
15-1211.00,Computer Systems Analysts,Microsoft Visual Studio,2.E.7.b,Development environment software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Windows,2.E.13.c,Operating system software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Windows Server,2.E.13.c,Operating system software,Y,N
15-1211.00,Computer Systems Analysts,Microsoft Word,2.E.4.d,Word processing software,Y,N
15-1211.00,Computer Systems Analysts,MicroStrategy,2.E.6.m,Business intelligence and data analysis software,N,N
15-1211.00,Computer Systems Analysts,Migration testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Minitab,2.E.9.d,Analytical or scientific software,N,N
15-1211.00,Computer Systems Analysts,MongoDB,2.E.6.d,Data base management system software,Y,N
15-1211.00,Computer Systems Analysts,Mutation testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,MySQL,2.E.6.d,Data base management system software,Y,N
15-1211.00,Computer Systems Analysts,Nagios,2.E.11.a,Network monitoring software,N,N
15-1211.00,Computer Systems Analysts,National Instruments LabVIEW,2.E.7.b,Development environment software,N,N
15-1211.00,Computer Systems Analysts,NetSuite ERP,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1211.00,Computer Systems Analysts,Network intrusion prevention systems NIPS,2.E.11.a,Network monitoring software,N,N
15-1211.00,Computer Systems Analysts,Node.js,2.E.7.h,Web platform development software,Y,N
15-1211.00,Computer Systems Analysts,NortonLifeLock cybersecurity software,2.E.14.d,Transaction security and virus protection software,N,N
15-1211.00,Computer Systems Analysts,NoSQL,2.E.6.d,Data base management system software,Y,N
15-1211.00,Computer Systems Analysts,Objective C,2.E.7.e,Object or component oriented development software,N,N
15-1211.00,Computer Systems Analysts,Omni Group OmniGraffle,2.E.4.a,Pattern design software,N,N
15-1211.00,Computer Systems Analysts,OpenAI ChatGPT,2.E.7.b,Development environment software,N,N
15-1211.00,Computer Systems Analysts,Oracle Application Server,2.E.10.a,Application server software,N,N
15-1211.00,Computer Systems Analysts,Oracle Business Intelligence Enterprise Edition,2.E.6.m,Business intelligence and data analysis software,N,N
15-1211.00,Computer Systems Analysts,Oracle Business Intelligence Suite,2.E.6.e,Data base reporting software,N,N
15-1211.00,Computer Systems Analysts,Oracle Cloud software,2.E.11.e,Cloud-based management software,Y,N
15-1211.00,Computer Systems Analysts,Oracle Database,2.E.6.d,Data base management system software,Y,N
15-1211.00,Computer Systems Analysts,Oracle E-Business Suite Financials,2.E.2.d,Financial analysis software,N,N
15-1211.00,Computer Systems Analysts,Oracle Eloqua,2.E.6.c,Customer relationship management CRM software,N,N
15-1211.00,Computer Systems Analysts,Oracle Fusion Applications,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1211.00,Computer Systems Analysts,Oracle Fusion Middleware,2.E.7.c,Enterprise application integration software,N,N
15-1211.00,Computer Systems Analysts,Oracle Hyperion,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1211.00,Computer Systems Analysts,Oracle Java,2.E.7.e,Object or component oriented development software,Y,N
15-1211.00,Computer Systems Analysts,Oracle Java 2 Platform Enterprise Edition J2EE,2.E.7.b,Development environment software,Y,N
15-1211.00,Computer Systems Analysts,Oracle JavaServer Pages JSP,2.E.7.h,Web platform development software,N,N
15-1211.00,Computer Systems Analysts,Oracle JD Edwards EnterpriseOne,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1211.00,Computer Systems Analysts,Oracle JDBC,2.E.6.f,Data base user interface and query software,N,N
15-1211.00,Computer Systems Analysts,Oracle Master Data Management MDM Suite,2.E.6.i,Metadata management software,N,N
15-1211.00,Computer Systems Analysts,Oracle PeopleSoft,2.E.2.b,Enterprise resource planning ERP software,Y,N
15-1211.00,Computer Systems Analysts,Oracle PeopleSoft Financials,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1211.00,Computer Systems Analysts,Oracle PL/SQL,2.E.6.d,Data base management system software,Y,N
15-1211.00,Computer Systems Analysts,Oracle Primavera Enterprise Project Portfolio Management,2.E.1.e,Project management software,Y,N
15-1211.00,Computer Systems Analysts,Oracle Solaris,2.E.13.c,Operating system software,N,N
15-1211.00,Computer Systems Analysts,Oracle SQL Developer,2.E.7.b,Development environment software,Y,N
15-1211.00,Computer Systems Analysts,Oracle Taleo,2.E.1.c,Human resources software,N,N
15-1211.00,Computer Systems Analysts,Oracle WebLogic Server,2.E.10.a,Application server software,N,N
15-1211.00,Computer Systems Analysts,OrCAD Capture,2.E.9.c,Computer aided design CAD software,N,N
15-1211.00,Computer Systems Analysts,Patch and update management software,2.E.7.a,Configuration management software,N,N
15-1211.00,Computer Systems Analysts,Perforce Helix software,2.E.7.a,Configuration management software,N,N
15-1211.00,Computer Systems Analysts,Perl,2.E.7.e,Object or component oriented development software,Y,N
15-1211.00,Computer Systems Analysts,Personal computer diagnostic software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,PHP,2.E.7.h,Web platform development software,Y,N
15-1211.00,Computer Systems Analysts,Popkin System Architect,2.E.7.g,Requirements analysis and system architecture software,N,N
15-1211.00,Computer Systems Analysts,PostgreSQL,2.E.6.j,Object oriented data base management software,Y,N
15-1211.00,Computer Systems Analysts,Puppet,2.E.7.a,Configuration management software,Y,N
15-1211.00,Computer Systems Analysts,Python,2.E.7.e,Object or component oriented development software,Y,Y
15-1211.00,Computer Systems Analysts,Qlik Tech QlikView,2.E.6.m,Business intelligence and data analysis software,N,N
15-1211.00,Computer Systems Analysts,Quest Erwin Data Modeler,2.E.6.i,Metadata management software,N,N
15-1211.00,Computer Systems Analysts,R,2.E.7.e,Object or component oriented development software,Y,N
15-1211.00,Computer Systems Analysts,Rapide,2.E.7.e,Object or component oriented development software,N,N
15-1211.00,Computer Systems Analysts,React,2.E.7.h,Web platform development software,Y,N
15-1211.00,Computer Systems Analysts,Recovery testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Red Hat Enterprise Linux,2.E.13.c,Operating system software,Y,N
15-1211.00,Computer Systems Analysts,Red Hat OpenShift,2.E.10.a,Application server software,Y,N
15-1211.00,Computer Systems Analysts,Red Hat WildFly,2.E.10.a,Application server software,N,N
15-1211.00,Computer Systems Analysts,Regression testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Relational database management software,2.E.6.d,Data base management system software,N,N
15-1211.00,Computer Systems Analysts,Remote control software,2.E.10.b,Desktop communications software,N,N
15-1211.00,Computer Systems Analysts,Requirements management software,2.E.7.g,Requirements analysis and system architecture software,N,N
15-1211.00,Computer Systems Analysts,Ruby,2.E.7.b,Development environment software,Y,N
15-1211.00,Computer Systems Analysts,Ruby on Rails,2.E.7.h,Web platform development software,N,N
15-1211.00,Computer Systems Analysts,Salesforce software,2.E.6.c,Customer relationship management CRM software,Y,N
15-1211.00,Computer Systems Analysts,Salesforce Visualforce,2.E.7.d,Graphical user interface development software,N,N
15-1211.00,Computer Systems Analysts,SAP Adaptive Server Enterprise,2.E.6.d,Data base management system software,N,N
15-1211.00,Computer Systems Analysts,SAP Business Objects,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1211.00,Computer Systems Analysts,SAP BusinessObjects Desktop Intelligence,2.E.6.f,Data base user interface and query software,N,N
15-1211.00,Computer Systems Analysts,SAP Crystal Reports,2.E.6.e,Data base reporting software,N,N
15-1211.00,Computer Systems Analysts,SAP ERP,2.E.2.b,Enterprise resource planning ERP software,Y,N
15-1211.00,Computer Systems Analysts,SAP Master Data Management MDM,2.E.6.i,Metadata management software,N,N
15-1211.00,Computer Systems Analysts,SAP NetWeaver,2.E.7.c,Enterprise application integration software,N,N
15-1211.00,Computer Systems Analysts,SAP NetWeaver BW,2.E.7.c,Enterprise application integration software,N,N
15-1211.00,Computer Systems Analysts,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,Y
15-1211.00,Computer Systems Analysts,SAS,2.E.9.d,Analytical or scientific software,Y,N
15-1211.00,Computer Systems Analysts,Scala,2.E.7.e,Object or component oriented development software,Y,N
15-1211.00,Computer Systems Analysts,Security testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Selenium,2.E.7.f,Program testing software,Y,N
15-1211.00,Computer Systems Analysts,ServiceNow,2.E.6.f,Data base user interface and query software,Y,Y
15-1211.00,Computer Systems Analysts,Shell script,2.E.13.c,Operating system software,Y,N
15-1211.00,Computer Systems Analysts,Skype,2.E.10.b,Desktop communications software,N,N
15-1211.00,Computer Systems Analysts,Slack,2.E.16.i,Cloud-based data access and sharing software,Y,N
15-1211.00,Computer Systems Analysts,Slido interaction software,2.E.16.c,Network conferencing software,N,N
15-1211.00,Computer Systems Analysts,Smalltalk,2.E.7.e,Object or component oriented development software,N,N
15-1211.00,Computer Systems Analysts,Snort,2.E.11.a,Network monitoring software,N,N
15-1211.00,Computer Systems Analysts,Software asset management SAM software,2.E.6.f,Data base user interface and query software,N,N
15-1211.00,Computer Systems Analysts,Software distribution software,2.E.7.a,Configuration management software,N,N
15-1211.00,Computer Systems Analysts,SpectraQuest,2.E.9.c,Computer aided design CAD software,N,N
15-1211.00,Computer Systems Analysts,Splunk Enterprise,2.E.11.e,Cloud-based management software,Y,N
15-1211.00,Computer Systems Analysts,Spring Boot,2.E.10.a,Application server software,Y,N
15-1211.00,Computer Systems Analysts,Spring Framework,2.E.7.h,Web platform development software,Y,N
15-1211.00,Computer Systems Analysts,Stac Software ReachOut,2.E.10.b,Desktop communications software,N,N
15-1211.00,Computer Systems Analysts,StataCorp Stata,2.E.9.d,Analytical or scientific software,N,N
15-1211.00,Computer Systems Analysts,Static analysis software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Stress testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Structure prediction software,2.E.9.d,Analytical or scientific software,N,N
15-1211.00,Computer Systems Analysts,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,Y
15-1211.00,Computer Systems Analysts,Sun Microsystems Sun ONE,2.E.6.l,Transaction server software,N,N
15-1211.00,Computer Systems Analysts,Supervisory control and data acquisition SCADA software,2.E.9.g,Industrial control software,N,N
15-1211.00,Computer Systems Analysts,Swift,2.E.7.e,Object or component oriented development software,Y,N
15-1211.00,Computer Systems Analysts,Symantec pcAnywhere,2.E.10.b,Desktop communications software,N,N
15-1211.00,Computer Systems Analysts,Symantec Visual Cafe,2.E.7.b,Development environment software,N,N
15-1211.00,Computer Systems Analysts,System and data disaster recovery software,2.E.15.f,Backup or archival software,N,N
15-1211.00,Computer Systems Analysts,System testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Systems and application deployment and migration software,2.E.7.a,Configuration management software,N,N
15-1211.00,Computer Systems Analysts,Tableau,2.E.6.m,Business intelligence and data analysis software,Y,N
15-1211.00,Computer Systems Analysts,Tax software,2.E.2.a,Accounting software,N,N
15-1211.00,Computer Systems Analysts,Teradata Database,2.E.6.d,Data base management system software,Y,N
15-1211.00,Computer Systems Analysts,Test design software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Test implementation software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,The MathWorks MATLAB,2.E.9.d,Analytical or scientific software,Y,N
15-1211.00,Computer Systems Analysts,Time sharing option TSO software,2.E.7.i,Compiler and decompiler software,N,N
15-1211.00,Computer Systems Analysts,Transact-SQL,2.E.6.f,Data base user interface and query software,Y,N
15-1211.00,Computer Systems Analysts,Ubuntu,2.E.13.c,Operating system software,N,N
15-1211.00,Computer Systems Analysts,Unified modeling language UML,2.E.7.g,Requirements analysis and system architecture software,N,N
15-1211.00,Computer Systems Analysts,Unit testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,UNIX,2.E.13.c,Operating system software,Y,N
15-1211.00,Computer Systems Analysts,UNIX Shell,2.E.13.c,Operating system software,Y,N
15-1211.00,Computer Systems Analysts,Usability testing software,2.E.7.f,Program testing software,N,N
15-1211.00,Computer Systems Analysts,Verilog,2.E.7.b,Development environment software,N,N
15-1211.00,Computer Systems Analysts,Veritas NetBackup,2.E.15.f,Backup or archival software,N,N
15-1211.00,Computer Systems Analysts,Version control software,2.E.5.c,File versioning software,N,N
15-1211.00,Computer Systems Analysts,Virtual private networking VPN software,2.E.14.b,Network security or virtual private network VPN management software,N,N
15-1211.00,Computer Systems Analysts,Virus scanning software,2.E.14.d,Transaction security and virus protection software,N,N
15-1211.00,Computer Systems Analysts,VMware,2.E.6.b,Clustering software,N,N
15-1211.00,Computer Systems Analysts,Voice over internet protocol VoIP system software,2.E.11.d,Internet protocol IP multimedia subsystem software,N,N
15-1211.00,Computer Systems Analysts,Web server software,2.E.6.l,Transaction server software,N,N
15-1211.00,Computer Systems Analysts,WebFOCUS,2.E.7.c,Enterprise application integration software,N,N
15-1211.00,Computer Systems Analysts,Wireshark,2.E.11.a,Network monitoring software,N,N
15-1211.00,Computer Systems Analysts,Wise Solutions Wise for Windows Installer,2.E.7.a,Configuration management software,N,N
15-1211.00,Computer Systems Analysts,YouTube,2.E.4.c,Video creation and editing software,N,N
15-1211.01,Health Informatics Specialists,Allscripts Professional EHR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Allscripts Sunrise,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Amkai AmkaiCharts,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Apache Hadoop,2.E.6.d,Data base management system software,Y,N
15-1211.01,Health Informatics Specialists,Bizmatics PrognoCIS EMR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Cerner Millennium,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Cerner PowerChart,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,ChartWare EMR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Computer aided software engineering CASE tools,2.E.7.e,Object or component oriented development software,N,N
15-1211.01,Health Informatics Specialists,Computerized physician order entry CPOE software,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,e-MDs software,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,eClinicalWorks EHR software,2.E.9.i,Medical software,Y,N
15-1211.01,Health Informatics Specialists,Electronic medical administration record eMAR software,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Epic Systems,2.E.9.i,Medical software,Y,N
15-1211.01,Health Informatics Specialists,ESRI ArcGIS software,2.E.8.h,Geographic information system,Y,N
15-1211.01,Health Informatics Specialists,GE Healthcare Centricity EMR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Healthcare management system,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,IBM SPSS Statistics,2.E.9.d,Analytical or scientific software,Y,N
15-1211.01,Health Informatics Specialists,JavaScript,2.E.7.h,Web platform development software,Y,N
15-1211.01,Health Informatics Specialists,LAMP Stack,2.E.7.h,Web platform development software,N,N
15-1211.01,Health Informatics Specialists,Learning management system LMS,2.E.8.b,Computer based training software,N,N
15-1211.01,Health Informatics Specialists,McKesson ANSOS One-Staff,2.E.4.h,Calendar and scheduling software,N,N
15-1211.01,Health Informatics Specialists,MEDITECH Healthcare Information System HCIS,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,MEDITECH software,2.E.9.i,Medical software,Y,N
15-1211.01,Health Informatics Specialists,Mediware ClosedLoop Clinical Systems,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Mediware Information Systems MediCOE,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Medscribbler Enterprise,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,MicroFour PracticeStudio.NET EMR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N
15-1211.01,Health Informatics Specialists,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y
15-1211.01,Health Informatics Specialists,Microsoft Office software,2.E.1.k,Office suite software,Y,Y
15-1211.01,Health Informatics Specialists,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,Y
15-1211.01,Health Informatics Specialists,Microsoft Power BI,2.E.6.m,Business intelligence and data analysis software,Y,Y
15-1211.01,Health Informatics Specialists,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y
15-1211.01,Health Informatics Specialists,Microsoft Project,2.E.1.e,Project management software,Y,N
15-1211.01,Health Informatics Specialists,Microsoft SharePoint,2.E.5.b,Document management software,Y,N
15-1211.01,Health Informatics Specialists,Microsoft SQL Server Reporting Services SSRS,2.E.7.e,Object or component oriented development software,Y,N
15-1211.01,Health Informatics Specialists,Microsoft Visio,2.E.1.p,Process mapping and design software,Y,N
15-1211.01,Health Informatics Specialists,Microsoft Word,2.E.4.d,Word processing software,Y,Y
15-1211.01,Health Informatics Specialists,Netsmart Technologies CareNet,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,NextGen Healthcare Information Systems EMR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Perl,2.E.7.e,Object or component oriented development software,Y,N
15-1211.01,Health Informatics Specialists,Picis CareSuite,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Python,2.E.7.e,Object or component oriented development software,Y,Y
15-1211.01,Health Informatics Specialists,Qlik software,2.E.6.m,Business intelligence and data analysis software,N,N
15-1211.01,Health Informatics Specialists,Qlik Tech QlikView,2.E.6.m,Business intelligence and data analysis software,N,N
15-1211.01,Health Informatics Specialists,R,2.E.7.e,Object or component oriented development software,Y,Y
15-1211.01,Health Informatics Specialists,Salesforce software,2.E.6.c,Customer relationship management CRM software,Y,N
15-1211.01,Health Informatics Specialists,SAP BusinessObjects Crystal Reports,2.E.6.e,Data base reporting software,N,N
15-1211.01,Health Informatics Specialists,SAS,2.E.9.d,Analytical or scientific software,Y,Y
15-1211.01,Health Informatics Specialists,Seimens Healthineers,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,SOAPware EMR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Software development tools,2.E.7.b,Development environment software,N,N
15-1211.01,Health Informatics Specialists,Sparta Systems TrackWise,2.E.9.e,Compliance software,N,N
15-1211.01,Health Informatics Specialists,StatCom Patient Flow Logistics Enterprise Suite,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,Y
15-1211.01,Health Informatics Specialists,SynaMed EMR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Tableau,2.E.6.m,Business intelligence and data analysis software,Y,Y
15-1211.01,Health Informatics Specialists,Texas Medical Software SpringCharts EMR,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,UNIX,2.E.13.c,Operating system software,Y,N
15-1211.01,Health Informatics Specialists,VISICU eICU Program,2.E.9.i,Medical software,N,N
15-1211.01,Health Informatics Specialists,Web browser software,2.E.10.e,Internet browser software,N,N
15-1212.00,Information Security Analysts,3M Post-it App,2.E.4.d,Word processing software,N,N
15-1212.00,Information Security Analysts,Access management software,2.E.12.a,Access software,N,N
15-1212.00,Information Security Analysts,AccessData FTK,2.E.11.a,Network monitoring software,N,N
15-1212.00,Information Security Analysts,Active directory software,2.E.10.d,Internet directory services software,N,N
15-1212.00,Information Security Analysts,Adobe ActionScript,2.E.7.b,Development environment software,N,N
15-1212.00,Information Security Analysts,Advanced business application programming ABAP,2.E.7.e,Object or component oriented development software,N,N
15-1212.00,Information Security Analysts,AJAX,2.E.7.h,Web platform development software,Y,N
15-1212.00,Information Security Analysts,Amazon DynamoDB,2.E.6.d,Data base management system software,Y,N
15-1212.00,Information Security Analysts,Amazon Elastic Compute Cloud EC2,2.E.6.f,Data base user interface and query software,Y,N
15-1212.00,Information Security Analysts,Amazon Redshift,2.E.6.f,Data base user interface and query software,Y,N
15-1212.00,Information Security Analysts,Amazon Simple Storage Service S3,2.E.12.f,Storage networking software,N,N
15-1212.00,Information Security Analysts,Amazon Web Services AWS CloudFormation,2.E.11.e,Cloud-based management software,Y,N
15-1212.00,Information Security Analysts,Amazon Web Services AWS software,2.E.6.f,Data base user interface and query software,Y,Y
15-1212.00,Information Security Analysts,Ansible software,2.E.1.i,Expert system software,Y,N
15-1212.00,Information Security Analysts,Anti-phishing software,2.E.14.d,Transaction security and virus protection software,N,N
15-1212.00,Information Security Analysts,Anti-spyware software,2.E.14.d,Transaction security and virus protection software,N,N
15-1212.00,Information Security Analysts,Anti-Trojan software,2.E.14.d,Transaction security and virus protection software,N,N
15-1212.00,Information Security Analysts,Apache Ant,2.E.7.b,Development environment software,N,N
15-1212.00,Information Security Analysts,Apache Cassandra,2.E.6.d,Data base management system software,Y,N
15-1212.00,Information Security Analysts,Apache Groovy,2.E.7.e,Object or component oriented development software,N,N
15-1212.00,Information Security Analysts,Apache Hadoop,2.E.6.d,Data base management system software,Y,N
15-1212.00,Information Security Analysts,Apache Hive,2.E.6.d,Data base management system software,Y,N
15-1212.00,Information Security Analysts,Apache HTTP Server,2.E.6.k,Portal server software,N,N
15-1212.00,Information Security Analysts,Apache Kafka,2.E.7.b,Development environment software,Y,N
15-1212.00,Information Security Analysts,Apache Maven,2.E.7.b,Development environment software,Y,N
15-1212.00,Information Security Analysts,Apache Pig,2.E.6.d,Data base management system software,N,N
15-1212.00,Information Security Analysts,Apache Solr,2.E.6.d,Data base management system software,N,N
15-1212.00,Information Security Analysts,Apache Spark,2.E.6.m,Business intelligence and data analysis software,Y,N
15-1212.00,Information Security Analysts,Apache Struts,2.E.7.h,Web platform development software,N,N
15-1212.00,Information Security Analysts,Apache Subversion SVN,2.E.5.c,File versioning software,Y,N
15-1212.00,Information Security Analysts,Apache Tomcat,2.E.7.h,Web platform development software,Y,N
15-1212.00,Information Security Analysts,Apple macOS,2.E.13.c,Operating system software,Y,N
15-1212.00,Information Security Analysts,ArcSight Enterprise Threat and Risk Management,2.E.9.o,Risk management data and analysis software,N,N
15-1212.00,Information Security Analysts,Atlassian Bamboo,2.E.7.c,Enterprise application integration software,N,N
15-1212.00,Information Security Analysts,Atlassian Confluence,2.E.1.e,Project management software,Y,N
15-1212.00,Information Security Analysts,Atlassian JIRA,2.E.5.a,Content workflow software,Y,N
15-1212.00,Information Security Analysts,Automated audit trail analysis software,2.E.11.a,Network monitoring software,N,N
15-1212.00,Information Security Analysts,Automated installation software,2.E.7.a,Configuration management software,N,N
15-1212.00,Information Security Analysts,Automated media tracking software,2.E.11.a,Network monitoring software,N,N
15-1212.00,Information Security Analysts,Backup and archival software,2.E.15.f,Backup or archival software,N,N
15-1212.00,Information Security Analysts,Bash,2.E.13.c,Operating system software,Y,N
15-1212.00,Information Security Analysts,Berkeley Internet Domain Name BIND,2.E.10.d,Internet directory services software,N,N
15-1212.00,Information Security Analysts,Blackboard software,2.E.6.f,Data base user interface and query software,N,N
15-1212.00,Information Security Analysts,Blink,2.E.16.d,Instant messaging software,N,N
15-1212.00,Information Security Analysts,Border Gateway Protocol BGP,2.E.12.g,Switch or router software,Y,N
15-1212.00,Information Security Analysts,C,2.E.7.b,Development environment software,Y,N
15-1212.00,Information Security Analysts,C#,2.E.7.e,Object or component oriented development software,Y,N
15-1212.00,Information Security Analysts,C++,2.E.7.e,Object or component oriented development software,Y,N
15-1212.00,Information Security Analysts,Check Point Next Generation Secure Web Gateway,2.E.14.d,Transaction security and virus protection software,N,N
15-1212.00,Information Security Analysts,Chef,2.E.7.a,Configuration management software,Y,N
15-1212.00,Information Security Analysts,Cisco Systems CiscoWorks,2.E.11.c,Administration software,N,N
15-1212.00,Information Security Analysts,Citrix cloud computing software,2.E.12.a,Access software,N,N
15-1212.00,Information Security Analysts,Common business oriented language COBOL,2.E.7.b,Development environment software,N,N
15-1212.00,Information Security Analysts,Computer forensic software,2.E.13.a,Filesystem software,N,N
15-1212.00,Information Security Analysts,Conformance and validation testing software,2.E.7.f,Program testing software,N,N
15-1212.00,Information Security Analysts,Cryptographic key management software,2.E.14.c,Network security and virtual private network VPN equipment software,N,N
15-1212.00,Information Security Analysts,Customer information control system CICS,2.E.6.l,Transaction server software,N,N
15-1212.00,Information Security Analysts,Delphi Technology,2.E.2.d,Financial analysis software,N,N
15-1212.00,Information Security Analysts,Diameter,2.E.14.a,Authentication server software,N,N
15-1212.00,Information Security Analysts,Django,2.E.7.h,Web platform development software,Y,N
15-1212.00,Information Security Analysts,Docker,2.E.10.a,Application server software,Y,N
15-1212.00,Information Security Analysts,Domain name system DNS,2.E.10.d,Internet directory services software,N,N
15-1212.00,Information Security Analysts,Drupal,2.E.7.h,Web platform development software,N,N
15-1212.00,Information Security Analysts,Eclipse IDE,2.E.7.b,Development environment software,Y,N
15-1212.00,Information Security Analysts,Elasticsearch,2.E.6.d,Data base management system software,Y,N
15-1212.00,Information Security Analysts,eMASS,2.E.9.o,Risk management data and analysis software,N,Y
15-1212.00,Information Security Analysts,End-to-end encryption software,2.E.14.d,Transaction security and virus protection software,N,N
15-1212.00,Information Security Analysts,Enterprise JavaBeans,2.E.7.h,Web platform development software,N,N
15-1212.00,Information Security Analysts,Epic Systems,2.E.9.i,Medical software,Y,N
15-1212.00,Information Security Analysts,ESRI ArcGIS software,2.E.8.h,Geographic information system,Y,N
15-1212.00,Information Security Analysts,Ethereal,2.E.11.a,Network monitoring software,N,N
